variant,fold,category,rows,prauc
baseline,pooled_2fold,Спорт и отдых,8736,0.7561980362116884
baseline,pooled_2fold,Строительство и ремонт,9054,0.8200825762234972
baseline,pooled_2fold,Товары для животных,9094,0.9101985601111577
baseline,pooled_2fold,Хобби и творчество,8827,0.9375838021333656
baseline,pooled_2fold,Электроника,9432,0.7890227306608963
baseline,pooled_2fold,Ювелирные изделия,9364,0.5979990065316587
category_balanced,pooled_2fold,Автотовары,9446,0.7305803039444827
category_balanced,pooled_2fold,Аптека,9141,0.8783961712333109
category_balanced,pooled_2fold,Бытовая техника,8817,0.8559329340470745
category_balanced,pooled_2fold,Бытовая химия,8737,0.9103335475692748
category_balanced,pooled_2fold,Галантерея и аксессуары,8935,0.7403988455030152
category_balanced,pooled_2fold,Детские товары,8862,0.9233777240258272
category_balanced,pooled_2fold,Дом и сад,9009,0.8463094236521076
category_balanced,pooled_2fold,Канцелярские товары,8742,0.8227750181086722
category_balanced,pooled_2fold,Красота и гигиена,8519,0.8371329853482605
category_balanced,pooled_2fold,Мебель,9148,0.7598839777617372
category_balanced,pooled_2fold,Музыкальные инструменты,8811,0.866361391161433
category_balanced,pooled_2fold,Обувь,9104,0.5767908292397117
category_balanced,pooled_2fold,Одежда,11723,0.5797370395192688
category_balanced,pooled_2fold,Продукты питания,9130,0.8962176667797326
category_balanced,pooled_2fold,Спорт и отдых,8736,0.7567016969128877
category_balanced,pooled_2fold,Строительство и ремонт,9054,0.820060301755133
category_balanced,pooled_2fold,Товары для животных,9094,0.9097258167293738
category_balanced,pooled_2fold,Хобби и творчество,8827,0.9376591526744018
category_balanced,pooled_2fold,Электроника,9432,0.787262710308456
category_balanced,pooled_2fold,Ювелирные изделия,9364,0.595761443422968
