category,fold,slice,alternative,channel_type,n,positives,baseline_ap,alternative_ap,blend_ap,blend_delta,status
Ювелирные изделия,fold_02,name_exact,knrm_name_v2,independent,7,0,,,,,undefined_one_class
Ювелирные изделия,fold_02,name_exact,ce_priodistill,diagnostic_non_independent,7,0,,,,,undefined_one_class
Ювелирные изделия,fold_02,name_exact,ce_fashion_specialist,diagnostic_non_independent,7,0,,,,,undefined_one_class
Ювелирные изделия,fold_02,name_near,zs_llm_blend,independent,81,8,0.8250595238095239,0.7075265957446808,0.8429166666666668,0.017857142857142905,checked
Ювелирные изделия,fold_02,name_near,knrm_name_v2,independent,81,8,0.8250595238095239,0.5753766109369558,0.8078787878787879,-0.01718073593073599,checked
Ювелирные изделия,fold_02,name_near,ce_priodistill,diagnostic_non_independent,81,8,0.8250595238095239,0.831375313283208,0.82546768707483,0.00040816326530612734,checked
Ювелирные изделия,fold_02,name_near,ce_fashion_specialist,diagnostic_non_independent,81,8,0.8250595238095239,0.8300595238095239,0.82546768707483,0.00040816326530612734,checked
Ювелирные изделия,fold_02,name_other,zs_llm_blend,independent,4736,578,0.5833551660960048,0.3058716963739487,0.5725800325247752,-0.010775133571229611,checked
Ювелирные изделия,fold_02,name_other,knrm_name_v2,independent,4736,578,0.5833551660960048,0.2765321954391666,0.5551214693767587,-0.028233696719246137,checked
Ювелирные изделия,fold_02,name_other,ce_priodistill,diagnostic_non_independent,4736,578,0.5833551660960048,0.5678321249699869,0.5833713305634682,1.6164467463442023e-05,checked
Ювелирные изделия,fold_02,name_other,ce_fashion_specialist,diagnostic_non_independent,4736,578,0.5833551660960048,0.5627138193133633,0.5835942397266345,0.00023907363062969367,checked
Ювелирные изделия,fold_02,attrs_present,zs_llm_blend,independent,4824,586,0.587881977930299,0.3093286860659492,0.5774884911160506,-0.010393486814248343,checked
Ювелирные изделия,fold_02,attrs_present,knrm_name_v2,independent,4824,586,0.587881977930299,0.27913744364661447,0.5606574733455799,-0.027224504584719034,checked
Ювелирные изделия,fold_02,attrs_present,ce_priodistill,diagnostic_non_independent,4824,586,0.587881977930299,0.5718708704341422,0.5878715517502677,-1.0426180031219978e-05,checked
Ювелирные изделия,fold_02,attrs_present,ce_fashion_specialist,diagnostic_non_independent,4824,586,0.587881977930299,0.5678678541781069,0.588174087575448,0.00029210964514903015,checked
Ювелирные изделия,fold_02,brand_agree,zs_llm_blend,independent,609,157,0.6977487069944532,0.5674960188119668,0.6882935227203941,-0.009455184274059114,checked
Ювелирные изделия,fold_02,brand_agree,knrm_name_v2,independent,609,157,0.6977487069944532,0.40694390345624337,0.6739026759857637,-0.02384603100868954,checked
Ювелирные изделия,fold_02,brand_agree,ce_priodistill,diagnostic_non_independent,609,157,0.6977487069944532,0.7081102646774033,0.700289634572032,0.0025409275775787332,checked
Ювелирные изделия,fold_02,brand_agree,ce_fashion_specialist,diagnostic_non_independent,609,157,0.6977487069944532,0.7022524836858813,0.6999380088559088,0.002189301861455606,checked
Ювелирные изделия,fold_02,brand_conflict,zs_llm_blend,independent,415,55,0.6695131894464699,0.5586635180521968,0.671563493489602,0.002050304043132112,checked
Ювелирные изделия,fold_02,brand_conflict,knrm_name_v2,independent,415,55,0.6695131894464699,0.2511624808126857,0.6185941819412553,-0.05091900750521461,checked
Ювелирные изделия,fold_02,brand_conflict,ce_priodistill,diagnostic_non_independent,415,55,0.6695131894464699,0.6262247107340694,0.6688241897088785,-0.0006889997375914003,checked
Ювелирные изделия,fold_02,brand_conflict,ce_fashion_specialist,diagnostic_non_independent,415,55,0.6695131894464699,0.6196587703198635,0.6678622267556753,-0.0016509626907945663,checked
Ювелирные изделия,fold_02,brand_one_missing,zs_llm_blend,independent,3800,374,0.5222410603005737,0.25323086394012767,0.5120344685527036,-0.010206591747870086,checked
Ювелирные изделия,fold_02,brand_one_missing,knrm_name_v2,independent,3800,374,0.5222410603005737,0.21187996645870327,0.49309927005452364,-0.02914179024605007,checked
Ювелирные изделия,fold_02,brand_one_missing,ce_priodistill,diagnostic_non_independent,3800,374,0.5222410603005737,0.49651175071750286,0.5206993197314834,-0.0015417405690902886,checked
Ювелирные изделия,fold_02,brand_one_missing,ce_fashion_specialist,diagnostic_non_independent,3800,374,0.5222410603005737,0.4920763043377932,0.5212391706410592,-0.0010018896595145321,checked
Ювелирные изделия,fold_02,model_agree,zs_llm_blend,independent,314,62,0.5432543049246009,0.34256953540693025,0.5233922612682212,-0.01986204365637967,checked
Ювелирные изделия,fold_02,model_agree,knrm_name_v2,independent,314,62,0.5432543049246009,0.3044965910152543,0.47476344484537514,-0.06849086007922578,checked
Ювелирные изделия,fold_02,model_agree,ce_priodistill,diagnostic_non_independent,314,62,0.5432543049246009,0.5208259573189604,0.5425620754269452,-0.0006922294976556831,checked
Ювелирные изделия,fold_02,model_agree,ce_fashion_specialist,diagnostic_non_independent,314,62,0.5432543049246009,0.5119372829172018,0.5399672550766009,-0.00328704984799999,checked
Ювелирные изделия,fold_02,model_both_missing,zs_llm_blend,independent,200,21,0.6049769558249828,0.2501404215601824,0.6096104981653357,0.0046335423403529585,checked
Ювелирные изделия,fold_02,model_both_missing,knrm_name_v2,independent,200,21,0.6049769558249828,0.32614865138672483,0.5945842511325696,-0.010392704692413157,checked
Ювелирные изделия,fold_02,model_both_missing,ce_priodistill,diagnostic_non_independent,200,21,0.6049769558249828,0.638426821034819,0.6064624691937792,0.0014855133687964317,checked
Ювелирные изделия,fold_02,model_both_missing,ce_fashion_specialist,diagnostic_non_independent,200,21,0.6049769558249828,0.6296265744178784,0.6124054816458853,0.007428525820902476,checked
Ювелирные изделия,fold_02,model_conflict,zs_llm_blend,independent,1273,239,0.6662007181877432,0.4961914813282636,0.6565197865206738,-0.009680931667069403,checked
