fold,mode,category,slice,rows,ap
fold_02,headtail,Красота и гигиена,all,4224,0.8271871657025067
fold_02,headtail,Красота и гигиена,any_trunc,724,0.8878107765548635
fold_02,headtail,Мебель,all,4565,0.764477347710826
fold_02,headtail,Мебель,any_trunc,1641,0.7414050613551654
fold_02,headtail,Музыкальные инструменты,all,4375,0.8553810001266005
fold_02,headtail,Музыкальные инструменты,any_trunc,50,0.7079365079365079
fold_02,headtail,Обувь,all,4622,0.5572300222713213
fold_02,headtail,Обувь,any_trunc,115,0.5672047934144708
fold_02,headtail,Одежда,all,5777,0.5730119478968548
fold_02,headtail,Одежда,any_trunc,148,0.5475978410185964
fold_02,headtail,Продукты питания,all,4581,0.8905036071906856
fold_02,headtail,Продукты питания,any_trunc,915,0.8936345033550752
fold_02,headtail,Спорт и отдых,all,4417,0.7538503874435443
fold_02,headtail,Спорт и отдых,any_trunc,274,0.7274575374282434
fold_02,headtail,Строительство и ремонт,all,4495,0.8220030085352492
fold_02,headtail,Строительство и ремонт,any_trunc,637,0.842459054428459
fold_02,headtail,Товары для животных,all,4534,0.9069801535522538
fold_02,headtail,Товары для животных,any_trunc,1005,0.9291791804127473
fold_02,headtail,Хобби и творчество,all,4488,0.9381230154923281
fold_02,headtail,Хобби и творчество,any_trunc,84,0.6750845727858064
fold_02,headtail,Электроника,all,4906,0.780893801490903
fold_02,headtail,Электроника,any_trunc,1644,0.7653006340229503
fold_02,headtail,Ювелирные изделия,all,4824,0.5633234612599547
fold_02,headtail,Ювелирные изделия,any_trunc,413,0.585539769853534
fold_02,middle,Автотовары,all,4660,0.7242985024404719
fold_02,middle,Автотовары,any_trunc,439,0.6311595605615566
fold_02,middle,Аптека,all,4520,0.8681835925904677
fold_02,middle,Аптека,any_trunc,1931,0.6918172820756638
fold_02,middle,Бытовая техника,all,4350,0.8203865002274399
fold_02,middle,Бытовая техника,any_trunc,1385,0.7207590763896699
fold_02,middle,Бытовая химия,all,4400,0.9071291369851402
fold_02,middle,Бытовая химия,any_trunc,97,0.8274234666774453
fold_02,middle,Галантерея и аксессуары,all,4507,0.7235210386232145
fold_02,middle,Галантерея и аксессуары,any_trunc,124,0.40712737843551794
fold_02,middle,Детские товары,all,4432,0.914103103567005
fold_02,middle,Детские товары,any_trunc,71,0.394270147123408
fold_02,middle,Дом и сад,all,4436,0.8462636893858969
fold_02,middle,Дом и сад,any_trunc,257,0.5361646537021921
fold_02,middle,Канцелярские товары,all,4361,0.8325597525217516
fold_02,middle,Канцелярские товары,any_trunc,24,0.7933333333333333
